district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,195,79,14,75,114,149,164,131,162,159,164,177,117,167,178,52,92,15,183,36,1
2,32,124,180,194,162,70,71,88,69,144,24,138,22,161,50,174,4,57,40,189,13
3,130,158,57,183,34,40,164,141,74,130,24,26,111,18,70,174,113,103,199,185,167
4,140,12,178,51,56,97,42,198,197,74,105,94,199,58,21,24,74,58,11,10,159
5,181,123,23,91,199,188,137,13,90,128,166,3,13,76,54,13,30,163,76,116,198
6,142,150,120,174,20,109,119,49,59,48,200,13,173,26,178,159,82,19,158,63,30
7,196,33,128,46,130,117,41,13,151,92,57,120,74,1,111,141,146,172,200,114,114
8,94,45,138,168,163,29,54,151,114,180,147,183,171,187,87,148,155,115,137,105,179
9,132,152,88,39,6,1,2,35,84,50,134,26,48,128,115,111,83,128,141,105,170
10,18,176,179,100,163,199,2,1,124,62,192,36,148,99,29,180,2,153,52,6,116
11,138,176,131,170,186,183,118,13,103,110,112,29,119,181,48,182,24,160,113,163,177
12,185,182,30,34,172,189,33,21,109,104,52,114,173,71,123,84,55,152,66,24,85
13,102,116,170,144,14,72,70,167,195,185,194,85,47,112,138,19,73,145,42,91,72
14,188,105,29,19,111,192,54,174,11,56,168,181,175,31,17,79,104,155,170,78,6
15,5,158,188,150,28,5,73,110,60,157,55,180,191,91,88,18,70,189,19,147,41
16,77,40,158,73,69,7,107,192,83,80,22,110,170,84,195,48,159,34,194,174,29
17,171,200,141,115,177,66,173,99,198,95,80,191,103,57,200,73,70,168,133,13,75
18,182,197,14,86,50,15,182,22,115,43,75,14,195,123,101,145,146,112,40,99,160
19,97,25,52,39,170,186,54,199,38,86,191,182,17,21,35,51,11,166,115,173,189
20,129,91,188,41,93,167,132,158,89,118,2,57,29,127,147,190,23,57,159,76,170
21,4,35,47,177,168,118,20,183,120,5,166,181,13,198,180,61,129,56,12,192,142
22,132,128,150,57,168,117,148,47,186,147,106,142,15,140,6,178,27,70,25,11,112
23,38,124,92,103,190,34,5,115,174,126,33,157,14,114,185,157,53,27,22,93,129
24,176,158,42,1,132,81,105,78,165,134,181,50,3,44,67,21,146,46,36,134,178
25,192,8,126,120,131,27,111,123,91,17,31,6,115,121,80,138,92,42,91,151,161
26,68,142,88,40,10,64,66,17,190,93,164,11,121,54,53,129,59,160,150,70,14
27,200,31,187,88,69,183,55,53,67,105,30,129,163,167,67,65,122,81,116,184,105
28,144,186,53,93,122,191,82,105,54,159,122,189,67,104,22,194,65,114,103,73,42
29,135,24,140,197,184,169,96,33,130,23,149,42,90,200,161,125,52,75,166,106,38
30,196,36,16,139,60,178,29,37,131,94,130,53,60,125,141,152,191,162,68,193,32
31,163,57,125,8,28,126,66,86,7,129,186,10,62,200,98,135,9,126,168,124,172
32,106,158,10,134,60,170,34,82,157,190,161,103,77,171,167,138,13,71,6,194,114
33,142,65,110,25,93,70,67,6,196,145,57,136,47,6,193,70,98,112,191,182,170
34,146,81,102,53,15,161,112,50,104,9,200,134,167,26,93,8,91,37,134,110,140
35,149,127,154,139,190,194,49,100,164,164,188,154,141,192,141,6,119,166,89,31,196
36,151,26,89,111,176,109,150,25,123,196,19,15,147,90,76,185,23,118,130,10,197
37,118,177,186,47,180,166,131,3,80,111,151,113,164,14,183,189,43,81,98,120,65
