district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,22,131,100,44,102,115,60,29,102,26,61,7,57,125,8,57,43,28,0,6,53
2,114,127,9,78,48,27,65,120,61,71,25,107,29,73,33,70,35,9,49,46,63
3,105,78,94,57,84,52,28,61,5,68,26,49,71,54,74,72,128,30,98,6,30
4,41,79,121,5,5,24,131,66,38,85,50,69,97,59,106,74,96,101,117,18,32
5,82,117,68,26,129,50,28,120,7,29,82,23,49,19,57,104,86,81,68,123,77
6,66,10,91,84,6,95,4,37,46,32,49,36,68,65,57,19,50,78,116,50,32
7,15,84,79,1,13,59,40,61,130,122,27,105,65,123,38,85,51,67,37,33,82
8,95,124,2,55,83,127,40,91,78,16,7,55,121,77,125,66,98,72,70,84,80
9,29,58,100,8,27,130,30,92,79,104,30,64,57,129,126,129,41,27,88,71,92
10,19,60,65,82,83,114,34,56,73,72,113,106,25,85,50,92,17,81,132,109,95
11,42,56,1,131,67,78,6,98,85,74,102,62,20,28,110,33,29,47,34,120,33
12,120,54,90,54,16,96,93,63,99,40,123,44,4,60,22,60,29,74,68,32,8
13,77,83,126,93,72,14,85,11,62,123,3,69,31,43,44,7,97,45,95,57,22
14,115,41,20,40,97,30,67,17,15,24,70,119,27,12,49,13,125,85,75,76,25
15,8,52,68,62,126,55,80,53,18,30,125,31,76,85,128,22,62,37,113,88,122
16,45,132,114,37,33,80,42,92,20,10,74,114,41,131,13,3,116,84,117,65,25
17,14,40,109,30,89,31,103,27,34,4,5,123,95,103,19,110,101,107,26,90,114
18,72,20,85,82,4,25,91,64,98,55,73,128,11,85,39,90,80,81,29,52,105
19,20,99,119,52,2,9,5,124,70,33,73,52,17,93,40,46,102,25,18,88,4
20,110,113,8,3,25,10,85,84,14,61,32,119,33,29,52,100,48,43,42,2,76
21,132,10,55,70,82,119,13,4,111,75,39,15,60,120,55,101,84,106,54,12,46
22,114,64,94,102,112,102,7,2,47,105,122,23,106,86,129,27,25,122,62,37,16
23,65,84,36,79,128,0,19,66,79,31,31,118,83,54,85,48,90,12,43,47,88
24,90,97,92,44,109,127,65,38,67,11,11,40,62,24,30,81,101,21,106,75,47
25,14,122,2,38,58,41,30,68,16,53,103,89,58,41,10,22,58,26,121,27,27
26,75,20,82,56,6,14,131,79,131,36,93,22,121,45,89,71,60,40,70,94,130
27,36,46,70,40,120,61,18,7,84,34,77,38,26,47,127,77,120,33,93,82,90
28,41,26,124,26,27,97,96,40,82,77,0,42,71,51,69,67,128,33,125,30,43
29,79,74,49,68,98,94,111,122,59,67,73,81,118,109,50,106,27,58,19,124,42
30,116,96,28,19,129,7,104,46,55,101,5,110,103,3,85,17,77,34,100,35,130
31,118,114,60,7,132,60,63,7,69,0,103,110,74,42,87,27,75,49,38,82,79
32,86,7,18,106,87,81,30,21,34,55,66,93,64,21,24,77,72,39,17,72,25
33,74,72,24,57,20,5,12,72,63,18,35,93,33,39,33,55,40,88,23,57,112
34,8,87,40,56,18,70,98,132,69,132,29,39,60,32,102,129,91,63,68,57,127
35,91,77,28,121,97,71,126,21,1,1,108,0,85,60,101,73,96,56,20,10,21
36,25,82,46,24,112,9,71,0,112,88,43,12,109,112,36,127,6,20,36,106,65
37,2,85,33,30,127,27,40,28,74,99,75,54,115,65,5,113,132,14,88,84,29
