district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,441,363,262,354,173,491,189,462,359,481,243,448,362,357,364,189,162,238,30,113,116
2,110,280,75,431,249,370,29,492,246,460,365,204,382,493,213,470,5,211,257,309,337
3,209,498,246,46,53,365,338,108,311,208,158,174,348,114,423,91,36,275,252,119,306
4,160,144,144,244,91,427,137,473,70,199,425,428,325,391,404,397,306,193,429,87,8
5,283,206,84,279,301,472,62,136,193,230,306,480,28,406,262,102,161,44,427,236,102
6,227,12,98,384,102,232,22,243,40,256,293,197,79,32,224,82,273,150,291,225,422
7,441,243,454,213,291,422,265,453,226,63,314,495,9,193,407,224,282,453,487,1,390
8,314,480,430,493,297,298,102,57,430,344,234,219,158,311,281,445,486,253,249,224,114
9,246,216,100,225,164,457,82,348,151,294,92,354,326,235,62,133,297,276,232,60,455
10,182,296,264,0,70,300,354,441,56,388,311,177,294,474,412,158,360,394,121,157,322
11,361,421,270,124,44,79,402,397,316,413,435,236,153,444,89,440,122,186,399,212,319
12,374,382,341,450,49,345,433,97,357,492,77,427,459,30,351,212,249,303,38,259,143
13,332,127,229,106,78,116,152,337,410,227,155,293,322,201,339,245,132,392,261,182,428
14,185,472,420,227,101,103,344,440,191,358,68,258,211,282,392,341,164,177,76,145,303
15,392,295,37,169,217,426,31,219,381,376,206,87,267,9,68,418,461,493,431,251,327
16,241,191,89,161,44,487,66,307,248,315,147,152,90,126,77,423,133,458,194,459,333
17,14,415,102,347,292,140,201,222,472,316,31,350,394,172,241,387,95,334,66,402,483
18,414,373,363,338,178,367,114,158,21,398,437,0,369,324,475,449,288,85,313,131,252
19,142,54,400,344,375,6,262,131,294,421,372,343,25,331,312,356,404,39,208,261,94
20,497,173,135,408,70,197,450,223,330,418,173,409,295,322,122,298,252,75,239,191,99
21,71,475,469,222,487,238,161,213,162,253,451,227,154,94,88,484,129,193,346,447,210
22,57,19,161,479,124,211,71,130,239,331,139,375,49,175,206,83,126,229,363,500,154
23,347,92,259,267,490,237,380,86,458,109,320,81,437,44,88,297,425,157,21,425,419
24,442,112,0,109,137,4,420,97,67,250,156,328,387,120,78,151,361,337,164,261,234
25,297,277,147,266,334,4,439,190,167,37,1,228,188,54,198,146,357,346,272,430,82
26,355,412,75,60,257,301,260,104,61,360,249,159,32,100,43,208,150,440,495,169,282
27,194,251,39,57,283,59,238,488,224,344,235,32,40,445,124,261,361,88,371,251,7
28,491,369,424,188,219,350,274,401,459,305,344,357,88,123,346,166,396,354,99,69,381
29,265,310,481,385,478,93,247,263,184,25,413,95,75,364,479,380,495,207,325,481,32
30,404,62,207,408,464,47,193,185,325,347,444,60,92,331,446,17,285,10,472,63,326
31,111,272,163,445,2,2,372,151,355,3,206,228,395,423,146,39,285,371,194,116,48
32,325,164,185,405,197,45,152,273,141,74,437,210,488,370,22,446,93,132,226,416,156
33,116,1,327,315,34,154,121,49,302,37,21,262,322,96,48,450,154,227,251,46,45
34,149,380,168,183,459,487,139,261,447,18,86,291,151,333,346,31,288,320,79,197,386
35,431,359,463,121,301,193,244,468,238,462,397,48,327,331,37,139,105,314,156,238,244
36,143,63,78,74,395,486,361,91,402,62,473,156,189,371,372,382,211,349,56,163,298
37,365,119,16,91,58,329,403,309,93,264,45,208,198,16,79,384,139,12,347,469,235
