district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1182,1882,1977,1536,2261,1515,1259,2296,2323,773,1949,2009,773,2402,1314,1089,1657,975,282,2491,1872
2,1756,2799,1591,1117,1519,365,1764,876,1493,477,790,2234,2384,1481,1849,1729,2907,1460,2199,359,376
3,2130,2229,2794,1676,604,795,2989,1580,2188,2589,1085,1249,1276,408,1120,892,55,1552,991,612,2204
4,2367,2570,1685,707,566,295,82,2818,2896,1611,2081,271,2069,2741,654,1370,750,1106,1822,1689,364
5,2443,369,1458,965,1982,2446,1052,1834,1873,1357,1140,2954,434,2986,1128,894,2656,1309,927,303,2856
6,2683,753,1501,2399,2389,1003,465,2610,2124,112,1979,1048,2636,772,1265,775,2859,2994,2903,1623,362
7,2883,738,619,2272,838,164,2088,258,2037,951,705,2734,91,2298,2074,2028,1762,1635,1557,317,896
8,1141,2533,2248,2610,2991,1099,1151,929,283,1019,1332,928,1129,2845,1470,2692,1990,1428,1124,62,1570
9,456,71,1383,1606,1983,1772,1656,2624,2746,1925,2865,2825,2740,2899,298,1885,130,1495,2579,2115,2421
10,2474,2168,1997,2309,2225,908,1304,1267,2685,1095,1695,218,651,140,2007,846,653,2090,1398,2624,416
11,2714,1850,2082,2748,1497,1654,2695,1386,173,1323,587,1793,2065,1358,2397,1043,396,1861,27,2882,1712
12,876,1291,1771,2129,286,1528,2672,2487,166,2739,2836,1366,300,1654,1923,1330,2472,1046,2771,108,1611
13,2978,146,308,2082,998,2302,61,1552,1659,299,1435,834,1439,1705,2882,2790,376,1988,2008,1166,2035
14,2254,1892,2313,1585,474,2992,712,2177,643,1926,2446,1414,2154,1803,701,612,2232,649,1122,564,600
15,2914,2147,1370,1253,2960,270,1168,1321,769,525,806,2714,2693,300,1190,2636,1326,909,536,2988,2980
16,1715,831,634,45,2623,821,1733,2321,1137,2968,2937,98,2543,2369,1614,1630,1430,1161,1090,2958,625
17,1954,1200,39,1409,2283,1377,822,1451,1889,2587,1192,2776,2237,2050,512,452,1009,2311,2258,2772,1581
18,1613,530,453,1304,761,1709,2283,718,1949,2266,106,2753,1649,1862,174,2099,2831,989,228,700,1865
19,2132,1437,117,2114,1310,1815,1235,2406,2103,170,1209,550,1001,2265,1320,2011,1397,1310,1557,2102,222
20,1189,1758,1258,479,114,1890,472,2207,923,2026,2737,1495,1369,1396,2797,2692,1374,2817,1299,2351,2005
21,672,1084,675,1161,2903,1177,1724,2816,253,1436,1536,2882,2611,106,2985,1497,1917,47,2888,2575,1689
22,2299,307,1496,1630,1343,308,94,2441,1444,224,2128,2530,1233,2676,1953,2349,1081,2052,2742,179,1085
23,788,1533,1210,936,2680,2916,418,779,2474,1657,307,2999,2959,1384,101,2037,1680,1392,2791,817,1925
24,81,2649,2344,503,199,1796,1910,1090,2084,146,2696,2613,942,2937,946,541,2863,287,2990,2335,1674
25,120,2979,2731,683,1789,626,1206,1827,288,189,1695,1386,1173,1150,2707,840,92,283,2847,1918,685
26,1462,4,1145,2467,2399,1723,2186,549,320,2907,2249,946,2311,2842,1080,818,2124,429,1854,1334,2252
27,2595,2696,313,202,1433,2472,2819,1270,2373,408,2907,990,1660,2924,2537,812,2427,488,118,1785,2005
28,361,1405,196,2281,2269,995,1174,2219,2645,1631,288,767,630,2013,1579,1609,1480,1858,129,2183,2528
29,2890,2921,257,1675,2302,830,684,341,1579,1657,2499,2893,482,1590,1695,2825,1662,1915,927,841,2846
30,2995,1239,1480,1295,1744,1117,2370,2003,2870,1527,697,1741,2644,2114,621,2577,1359,1769,82,1686,780
31,1485,1061,1917,42,1957,645,705,1659,206,1593,302,1635,571,1382,2615,1260,1421,1334,1936,432,2152
32,2580,1149,2395,13,1896,968,1852,1806,2167,1226,77,2579,2480,2542,2126,649,751,148,77,631,2474
33,1523,499,1552,1138,1041,2556,2160,1334,2426,1967,715,342,2135,2228,930,810,1566,2655,2899,2771,1634
34,1871,429,189,997,2947,2953,869,1997,950,2657,827,884,2516,1452,2561,861,1817,822,2050,1723,476
35,1777,475,532,828,572,1714,2514,454,501,648,2319,2301,1917,1535,1680,2200,2698,103,199,423,2769
36,1282,2727,2634,2007,840,51,2286,705,1228,1643,1255,2781,1807,1765,1891,704,1660,2537,2638,1308,2165
37,1781,1511,1043,741,878,958,419,2486,1504,829,1097,1457,268,1694,468,2188,1093,1479,2495,2464,690
