district,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,8.480769231,4.172413793,2.62,5.619047619,3.326923077,8.927272727,2.423076923,7.451612903,6.527272727,6.5,2.793103448,5.333333333,5.838709677,4.518987342,3.714285714,1.948453608,2.842105263,3.5,0.483870968,1.448717949,1.183673469
2,1.71875,3.010752688,0.824175824,5.3875,2.49,5.692307692,0.298969072,7.343283582,4.472727273,6.666666667,5.14084507,2.125,4.658536585,6.573333333,2.802631579,7.966101695,0.053191489,4.137254902,3.023529412,5.618181818,3.964705882
3,3.073529412,5.724137931,3.324324324,0.676470588,0.6625,3.65,4.072289157,1.714285714,4.319444444,2.144329897,2.821428571,2.230769231,4.296296296,1.2,6.042857143,1.070588235,0.620689655,4.365079365,3,2.051724138,3.221052632
4,1.927710843,2.322580645,1.484536082,2.623655914,1.011111111,6.1,1.556818182,4.978947368,1.296296296,2.369047619,5.182926829,4.553191489,3.869047619,4.25,5.386666667,4.511363636,3.477272727,1.93,8.094339623,0.90625,0.13559322
5,4.796610169,2.783783784,0.976744186,3.032608696,3.20212766,5.756097561,0.96875,1.721518987,2.680555556,3.965517241,4.78125,5.925925926,0.35443038,5.139240506,2.729166667,1.307692308,1.916666667,0.543209877,6.887096774,2.651685393,1.854545455
6,3.388059701,0.24,1.126436782,7.68,1.133333333,2.606741573,0.44,2.7,0.476190476,4.266666667,3.329545455,2.010204082,0.806122449,0.344086022,2.765432099,1.389830508,5.46,1.807228916,4.157142857,2.472527473,6.028571429
7,4.95505618,2.505154639,5.896103896,3.872727273,3.98630137,5.341772152,4.907407407,5.26744186,4.185185185,0.670212766,4.361111111,5.380434783,0.111111111,2.297619048,6.166666667,3.154929577,3.397590361,7.810344828,5.072916667,0.013157895,5
8,3.305263158,5.052631579,7.166666667,5.082474227,4.432835821,5.418181818,1.159090909,0.904761905,5.375,5.46031746,3.65625,3.318181818,2.771929825,4.038961039,3.697368421,7.416666667,5.522727273,3.720588235,2.64893617,2.333333333,1.373493976
9,3.514285714,3.428571429,1.01010101,3.947368421,1.885057471,5.44047619,0.863157895,4.094117647,2.040540541,4.819672131,1.045454545,3.847826087,4.724637681,2.670454545,0.911764706,2.333333333,4.367647059,4.181818182,2.549450549,0.9375,5.759493671
10,3.5,3.746835443,3.771428571,0,0.813953488,6,6.807692308,8.647058824,1.12,4.731707317,4.859375,3.54,4.260869565,6.493150685,4.12,1.816091954,3.870967742,7.88,1.49382716,2.661016949,3.975308642
