district,work,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,ponds,14,59,42,52,76,27,4,49,11,55,0,17,47,13,58,10,39,58,47,40,69
2,ponds,36,47,77,44,77,1,29,56,14,65,29,24,67,29,54,53,40,27,16,13,20
3,ponds,58,19,8,73,19,73,36,3,49,56,66,47,11,57,27,61,39,52,53,46,67
4,ponds,34,48,41,61,67,68,8,78,32,37,72,52,3,41,65,21,51,64,9,2,47
5,ponds,74,67,28,62,67,72,22,6,39,65,78,49,13,48,66,0,77,30,3,78,58
6,ponds,17,15,24,67,61,30,10,47,67,38,74,52,74,6,21,70,26,39,7,76,57
7,ponds,29,42,39,32,56,32,75,78,49,78,62,11,78,63,68,63,0,77,4,63,52
8,ponds,14,56,68,40,3,21,20,5,42,2,52,22,16,78,28,59,11,75,25,58,47
9,ponds,65,33,24,73,66,53,6,74,63,9,70,40,43,59,38,23,18,17,59,77,44
10,ponds,2,11,23,53,77,12,41,20,50,32,11,64,70,9,43,36,7,39,29,3,73
11,ponds,34,4,74,18,35,4,2,4,32,21,76,30,21,13,58,74,9,57,9,58,34
12,ponds,24,59,10,58,41,3,32,64,74,47,71,25,21,34,27,4,63,4,63,72,36
13,ponds,77,42,1,55,41,77,65,55,8,61,26,30,34,48,56,54,44,53,70,70,13
14,ponds,59,65,45,40,44,46,40,18,74,17,57,34,29,49,46,33,0,10,60,24,73
15,ponds,59,24,1,54,50,54,34,76,59,4,66,51,71,66,73,49,1,37,48,61,55
16,ponds,21,36,19,58,13,46,69,25,27,44,53,50,25,16,6,29,40,31,59,70,50
17,ponds,44,34,53,23,63,50,56,18,47,29,9,32,12,73,69,50,49,24,73,11,50
18,ponds,24,2,3,60,1,77,72,74,45,27,75,43,4,0,52,65,46,54,22,60,78
19,ponds,21,71,33,40,52,34,61,65,18,41,50,38,7,62,11,22,42,3,8,10,66
20,ponds,62,46,70,32,65,3,47,50,14,9,28,56,12,45,69,65,71,40,1,60,35
